player_id,active_days,total_recharge,total_profit,total_bet,burn_per_day,loss_pct,first_active,last_active,vip_level,lifetime_recharge,lifetime_withdraw,pr_group
58275389,1,500.00,-3450.76,7390.00,3450.76,690.2,2026-01-30,2026-01-30,0,0.00,0.00,PR95+_fastest
16267949,1,500.00,-3432.90,4279.50,3432.90,686.6,2026-01-04,2026-01-04,0,0.00,0.00,PR95+_fastest
77365095,1,500.00,-3414.20,12292.00,3414.20,682.8,2026-01-08,2026-01-08,0,0.00,0.00,PR95+_fastest
20423084,13,14000.00,-43657.00,128574.00,3358.23,311.8,2026-01-01,2026-01-30,0,0.00,0.00,PR95+_fastest
67166623,16,71500.00,-53271.52,588877.30,3329.47,74.5,2026-01-16,2026-01-31,0,0.00,0.00,PR95+_fastest
77130438,3,200.00,-9929.54,3714.50,3309.85,4964.8,2026-01-13,2026-01-20,0,0.00,0.00,PR95+_fastest
47309918,4,1800.00,-12704.10,50185.00,3176.03,705.8,2026-01-28,2026-01-31,0,0.00,0.00,PR95+_fastest
75314316,2,8000.00,-6304.53,108806.67,3152.27,78.8,2026-01-27,2026-01-28,0,0.00,0.00,PR95+_fastest
73473596,2,500.00,-6208.01,29065.00,3104.01,1241.6,2026-01-28,2026-01-29,0,0.00,0.00,PR95+_fastest
12886354,2,400.00,-6183.49,760.00,3091.75,1545.9,2026-01-14,2026-01-26,0,0.00,0.00,PR95+_fastest
77694831,1,2000.00,-3066.40,10483.50,3066.40,153.3,2026-01-14,2026-01-14,0,0.00,0.00,PR95+_fastest
78335349,5,16200.00,-15278.40,50735.30,3055.68,94.3,2026-01-01,2026-01-14,0,0.00,0.00,PR95+_fastest
33421557,1,2100.00,-3040.65,7805.00,3040.65,144.8,2026-01-20,2026-01-20,0,0.00,0.00,PR95+_fastest
19649723,1,470.00,-3037.30,6350.00,3037.30,646.2,2026-01-20,2026-01-20,0,0.00,0.00,PR95+_fastest
51133655,2,5000.00,-5830.36,28944.00,2915.18,116.6,2026-01-28,2026-01-29,0,0.00,0.00,PR95+_fastest
